seed,naive_pick,honest_pick,best_deploy_pick,naive_cv_mae,honest_cv_mae,naive_dep_mae,naive_dep_r2,honest_dep_mae,honest_dep_r2,best_dep_mae,regret_naive,regret_honest,delta_mae,delta_pct,naive_cv[kNN(k=1)],naive_cv[kNN(k=5)],naive_cv[kNN(k=50)],naive_cv[Ridge a=.01],naive_cv[Ridge a=1],naive_cv[Ridge a=100],naive_cv[RF d=None],naive_cv[RF d=4],honest_cv[kNN(k=1)],honest_cv[kNN(k=5)],honest_cv[kNN(k=50)],honest_cv[Ridge a=.01],honest_cv[Ridge a=1],honest_cv[Ridge a=100],honest_cv[RF d=None],honest_cv[RF d=4],dep_mae[kNN(k=1)],dep_mae[kNN(k=5)],dep_mae[kNN(k=50)],dep_mae[Ridge a=.01],dep_mae[Ridge a=1],dep_mae[Ridge a=100],dep_mae[RF d=None],dep_mae[RF d=4]
20,RF d=None,Ridge a=.01,Ridge a=.01,1.716599851926252,1.954041588798329,2.559204288828866,0.7295121218389667,2.1439641568093446,0.8012504212582484,2.1439641568093446,0.41524013201952137,0.0,0.41524013201952137,16.22536089956078,2.2924020752942935,1.8387597994831666,1.8568984315463972,1.7885010295704287,1.7885203531508609,1.7906554996794264,1.716599851926252,1.8221909147242688,3.2382471097290937,2.5381253282246203,2.640390135652555,1.954041588798329,1.9542045408223896,1.970605782204925,2.484303991258742,2.1663984199365105,3.3666291532532813,2.6750123425635297,2.6639485167897234,2.1439641568093446,2.1440340386339583,2.1513568034593993,2.559204288828866,2.299566447301281
21,RF d=None,Ridge a=.01,Ridge a=.01,1.6985862820703754,1.9362686988983362,2.6918499322956744,0.7948541091684423,2.2788712423077406,0.841278459734002,2.2788712423077406,0.41297868998793374,0.0,0.41297868998793374,15.341816979958297,2.2621237778567442,1.7938748122022368,1.7944219295148922,1.7477928648382193,1.7478058997834105,1.7493392132423395,1.6985862820703754,1.7742015534692477,2.999162436089387,2.456799310428843,2.5686859492839025,1.9362686988983362,1.9363919975242652,1.9488120198188121,2.299664507927017,2.0411073612831037,4.055494474399038,2.8953515860096157,3.1765131692389423,2.2788712423077406,2.2790084635862167,2.292938879226616,2.6918499322956744,2.362775807919693
22,RF d=None,Ridge a=.01,Ridge a=.01,1.7737880848109995,2.2319209215403424,2.6381114018015586,0.722427599378727,2.0750210768088326,0.8600855683141323,2.0750210768088326,0.5630903249927259,0.0,0.5630903249927259,21.34444832800439,2.3624065454610514,1.8910362641683984,1.8533712275669365,1.835422937023249,1.8354293858782587,1.8362077273678576,1.7737880848109995,1.8379642997071444,3.221026614494182,2.5763499408964643,2.6513190149288524,2.2319209215403424,2.232114596651692,2.2511011385690454,2.4316278466213754,2.3411525798691732,3.4106738847765365,2.6698149444739294,2.553986140905959,2.0750210768088326,2.075196734417141,2.092493474468194,2.6381114018015586,2.4160746016638073
23,RF d=None,Ridge a=.01,Ridge a=.01,1.8272338802850776,2.087627781941877,2.0689088649027716,0.8048758084096551,1.699282187550734,0.8682464032351677,1.699282187550734,0.3696266773520376,0.0,0.3696266773520376,17.865778605449023,2.422130576034317,1.950837325819089,1.9828589466456392,1.9096290448856492,1.9096530282382425,1.912181386913966,1.8272338802850776,1.9378307098580994,3.3773537696201785,2.676411142488301,2.7592986387180294,2.087627781941877,2.0877899449597996,2.1040759520028005,2.5363393895726323,2.409924939251474,2.8602369664396434,2.2503185996195394,2.3588897882832316,1.699282187550734,1.6993882588306457,1.7103179547969378,2.0689088649027716,1.9937672874372978
24,RF d=None,Ridge a=.01,Ridge a=.01,1.6826745351164358,1.9439714729841602,3.1540524007327213,0.7348716026866069,2.3512634489378867,0.8222683831667589,2.3512634489378867,0.8027889517948346,0.0,0.8027889517948346,25.452619354337223,2.2414472088767954,1.7869148411741311,1.7822580914788062,1.7359797852154082,1.7359900952188998,1.7372330619136367,1.6826745351164358,1.783555757374779,3.079648961315932,2.4508358740816805,2.5064673594033438,1.9439714729841602,1.944068766828267,1.9540395003389328,2.282347027814555,2.2157301169709855,4.562984235768725,3.2624388412667544,3.456466113020237,2.3512634489378867,2.3513721854566456,2.36243165942978,3.1540524007327213,2.8151287049062503
25,RF d=None,Ridge a=.01,Ridge a=.01,1.9150286939057104,2.1502373169956237,1.9884342743922725,0.8580735675135366,1.6113350543926008,0.912611611933566,1.6113350543926008,0.37709921999967166,0.0,0.37709921999967166,18.96463085836342,2.5211778938472427,2.033119833039475,2.0649565040160516,1.9916935054183758,1.991717054390626,1.9942384413289613,1.9150286939057104,2.018171001218432,3.3689524194594798,2.578740047947112,2.6087416629053046,2.1502373169956237,2.1503407858051338,2.1607780417154308,2.430280861457163,2.3155897137809003,2.8954173640130354,2.04607080905959,2.6081163730656423,1.6113350543926008,1.6115562768727578,1.6338269480093883,1.9884342743922725,1.700808050343769
26,RF d=None,Ridge a=.01,Ridge a=.01,1.7933765013170473,2.087673470821777,2.327150413304569,0.7744060773474924,1.958441204982071,0.8447072757547199,1.958441204982071,0.3687092083224979,0.0,0.3687092083224979,15.843806494610222,2.390776457229087,1.9110787852538405,1.9376540457559337,1.873183596020353,1.8732053325680742,1.875530912791962,1.7933765013170473,1.8745930569063507,3.2879548956479843,2.49274324591319,2.608780308811847,2.087673470821777,2.0878116571967396,2.1017669624557973,2.334324750382067,2.227675074059546,3.066392067941107,2.319083637083828,2.727370661236761,1.958441204982071,1.9586147258825062,1.975878375465803,2.327150413304569,2.2385991574233985
27,RF d=None,Ridge a=.01,Ridge a=.01,1.8615576579045026,2.0967475490055163,2.0296740843683585,0.7900287645909135,1.7297324974963608,0.8332407004022542,1.7297324974963608,0.2999415868719977,0.0,0.2999415868719977,14.777820201874455,2.4379258831532935,1.9626137744564471,1.967907253287418,1.9160071138237462,1.9160256350065228,1.9181446644171694,1.8615576579045026,1.9576697339671671,3.5176064106277694,2.623416784977235,2.7222973300446673,2.0967475490055163,2.096918299957156,2.1140503019417793,2.454729464082825,2.2080882967834734,2.800859901381939,2.1328651907171787,2.2401247287043127,1.7297324974963608,1.729903080263679,1.7469546227828823,2.0296740843683585,1.8045555751901081
28,RF d=None,Ridge a=.01,Ridge a=.01,1.8049734984282821,2.100725052071675,1.9719256000041858,0.7868588878871946,1.780171695805879,0.8267456801865265,1.780171695805879,0.19175390419830673,0.0,0.19175390419830673,9.724195689629452,2.3784650526180258,1.9283849534935622,1.9382766669509504,1.8905160903652127,1.8905303007477403,1.8921179175715757,1.8049734984282821,1.919344512543315,3.448813075468417,2.619802314998391,2.748997516837878,2.100725052071675,2.100894173412364,2.1178156987069423,2.497254759227333,2.3052785420441326,2.7958511029728346,2.13246796626858,2.3052723177083547,1.780171695805879,1.780346659487667,1.7975358481959214,1.9719256000041858,1.8017132564763565
29,RF d=None,Ridge a=.01,Ridge a=.01,1.8485877961250974,2.103013548538604,2.088676199154953,0.7971111911526384,1.728427384418296,0.8632744597986465,1.728427384418296,0.36024881473665693,0.0,0.36024881473665693,17.247710051103574,2.4498857322010616,1.9579709151133315,1.9971975212623163,1.9121409465071282,1.9121698818816135,1.9151888746915682,1.8485877961250974,1.9391008635280524,3.3086263504120943,2.559837502328106,2.708347134953735,2.103013548538604,2.1031731114004684,2.119273887374539,2.3556529044631382,2.240143578289035,2.8173919465808908,2.2054160114939245,2.2771830879351915,1.728427384418296,1.728521434622069,1.738104655427846,2.088676199154953,1.9740528743149346
